GEONAME,CRASH_TYPE_CD,VARIABLE,VALUE
Franklin County,Sideswipe - Passing,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.07165890361877464
Franklin County,Train,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.00035829451809387314
Franklin County,Unknown,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.006449301325689717
Knox County,Angle,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.2
Knox County,Animal,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.05517241379310345
Knox County,Backing,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0
Knox County,Fixed Object,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.3931034482758621
Knox County,Head On,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.041379310344827586
Knox County,Left Turn,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.05517241379310345
Knox County,Other Non-Collision,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0
Knox County,Other Object,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0
Knox County,Overturning,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.07586206896551724
Knox County,Parked Vehicle,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.013793103448275862
Knox County,Pedalcycles,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.006896551724137931
Knox County,Pedestrian,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.034482758620689655
Knox County,Rear End,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.05517241379310345
Knox County,Right Turn,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.013793103448275862
Knox County,Sideswipe - Meeting,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0
Knox County,Sideswipe - Passing,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.05517241379310345
Knox County,Unknown,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0
Licking County,Angle,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.16308243727598568
Licking County,Animal,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.017921146953405017
Licking County,Backing,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0035842293906810036
